number_votes,share_votes,district,affiliation
29,0.06 %,Cegléd,MCP
13,0.03 %,Cegléd,HHP
1961,4.08 %,Cegléd,LMP
53,0.11 %,Cegléd,SZP
157,0.33 %,Cegléd,CSP
29,0.06 %,Cegléd,ÖSSZEFOGÁS PÁRT
236,0.48 %,Monor,SEM
62,0.13 %,Monor,HHP
795,1.61 %,Monor,MOMENTUM
25989,52.61 %,Monor,FIDESZ-KDNP
12944,26.21 %,Monor,JOBBIK
54,0.11 %,Monor,EU.ROM
123,0.25 %,Monor,MIÉP
1666,3.37 %,Monor,LMP
287,0.58 %,Monor,EGYÜTT
7065,14.3 %,Monor,MSZP-PÁRBESZÉD
174,0.35 %,Monor,MUNKÁSPÁRT
325,0.52 %,Szigetszentmiklós,MUNKÁSPÁRT
228,0.36 %,Szigetszentmiklós,MIÉP
108,0.17 %,Szigetszentmiklós,NEMZET ÉS BÉKE
12758,20.36 %,Szigetszentmiklós,JOBBIK
348,0.56 %,Szigetszentmiklós,SEM
3016,4.81 %,Szigetszentmiklós,LMP
61,0.1 %,Szigetszentmiklós,HAJRÁ MAGYARORSZÁG!
25272,40.33 %,Szigetszentmiklós,FIDESZ-KDNP
0,0.0 %,Szigetszentmiklós,IRÁNYTŰ
0,0.0 %,Szigetszentmiklós,EGYÜTT
1355,2.16 %,Szigetszentmiklós,MOMENTUM
19188,30.62 %,Szigetszentmiklós,MSZP-PÁRBESZÉD
0,0.0 %,Dabas,MODERN MAGYARORSZÁG MOZGALOM (MOMA)
28,0.05 %,Dabas,JÓ ÚT MPP
17231,29.47 %,Dabas,JOBBIK
3300,5.64 %,Dabas,LMP
66,0.11 %,Dabas,EP
29780,50.94 %,Dabas,FIDESZ-KDNP
7157,12.24 %,Dabas,MSZP-PÁRBESZÉD
47,0.08 %,Dabas,EU.ROM
153,0.26 %,Dabas,MIÉP
107,0.18 %,Dabas,KÖZÖS NEVEZŐ
34,0.06 %,Dabas,MCP
26,0.04 %,Dabas,NEMZET ÉS BÉKE
95,0.16 %,Dabas,TENNI AKARÁS MOZGALOM
30,0.05 %,Dabas,HHP
21,0.04 %,Dabas,JMP
74,0.13 %,Dabas,REND PÁRT
0,0.0 %,Dabas,MOMENTUM
0,0.0 %,Dabas,HAM
46,0.08 %,Dabas,NP
88,0.15 %,Dabas,KÖSSZ
122,0.21 %,Dabas,DEMOKRATA PÁRT
59,0.1 %,Dabas,SZP
163,0.34 %,Nagykáta,EGYÜTT
23,0.05 %,Nagykáta,REND PÁRT
53,0.11 %,Nagykáta,KÖZÖS NEVEZŐ
16,0.03 %,Nagykáta,HHP
16017,33.46 %,Nagykáta,JOBBIK
19,0.04 %,Nagykáta,ÖSSZEFOGÁS PÁRT
2144,4.48 %,Nagykáta,Független jelölt
1409,2.94 %,Nagykáta,LMP
12,0.03 %,Nagykáta,NEMZET ÉS BÉKE
26,0.05 %,Nagykáta,MCP
3426,7.16 %,Nagykáta,MSZP-PÁRBESZÉD
127,0.27 %,Nagykáta,SEM
95,0.2 %,Nagykáta,MIÉP
29,0.06 %,Nagykáta,MISZEP
25,0.05 %,Nagykáta,EU.ROM
33,0.07 %,Nagykáta,IRÁNYTŰ
24051,50.25 %,Nagykáta,FIDESZ-KDNP
29,0.06 %,Nagykáta,NP
166,0.35 %,Nagykáta,MUNKÁSPÁRT
30537,43.27 %,Dunakeszi,FIDESZ-KDNP
0,0.0 %,Dunakeszi,LMP
25576,36.24 %,Dunakeszi,DK
0,0.0 %,Dunakeszi,EGYÜTT
10902,15.45 %,Dunakeszi,JOBBIK
212,0.3 %,Dunakeszi,A HAZA PÁRTJA
2502,3.55 %,Dunakeszi,MOMENTUM
100,0.14 %,Dunakeszi,OP
610,0.86 %,Dunakeszi,SEM
135,0.19 %,Dunakeszi,IRÁNYTŰ
112,0.21 %,Vác,ÖSSZEFOGÁS PÁRT
12824,23.92 %,Vác,JOBBIK
10131,18.9 %,Vác,LMP
0,0.0 %,Vác,DK
366,0.68 %,Vác,MUNKÁSPÁRT
35,0.07 %,Vác,ÉRTÜNK ÉRTETEK
974,1.82 %,Vác,EGYÜTT
27559,51.41 %,Vác,FIDESZ-KDNP
388,0.72 %,Vác,Független jelölt
174,0.32 %,Vác,MIÉP
930,1.73 %,Vác,MOMENTUM
115,0.21 %,Vác,KÖZÖS NEVEZŐ
0,0.0 %,Vác,HAZA MINDENKIÉ
54,0.08 %,Gödöllő,EU.ROM
25,0.04 %,Gödöllő,REND PÁRT
1109,1.72 %,Gödöllő,MKKP
848,1.32 %,Gödöllő,MOMENTUM
233,0.36 %,Gödöllő,EGYÜTT
44,0.07 %,Gödöllő,HAJRÁ MAGYARORSZÁG!
46,0.07 %,Gödöllő,KÖZÖS NEVEZŐ
101,0.16 %,Gödöllő,A HAZA PÁRTJA
58,0.09 %,Gödöllő,MISZEP
65,0.1 %,Gödöllő,KÖSSZ
20,0.03 %,Gödöllő,NP
36,0.06 %,Gödöllő,JÓ ÚT MPP
261,0.41 %,Gödöllő,ÉRTÜNK ÉRTETEK
58,0.09 %,Gödöllő,SZP
12343,19.16 %,Gödöllő,JOBBIK
4776,7.41 %,Gödöllő,MSZP-PÁRBESZÉD
29588,45.92 %,Gödöllő,FIDESZ-KDNP
14763,22.91 %,Gödöllő,LMP
85,0.14 %,Vecsés,KÖSSZ
705,1.15 %,Vecsés,EGYÜTT
89,0.15 %,Vecsés,ÖSSZEFOGÁS PÁRT
23,0.04 %,Vecsés,LENDÜLETTEL
18,0.03 %,Vecsés,EMMO
27485,44.82 %,Vecsés,FIDESZ-KDNP
8744,14.26 %,Vecsés,DK
18114,29.54 %,Vecsés,JOBBIK
216,0.35 %,Vecsés,MINŐKP
134,0.22 %,Vecsés,MIÉP
177,0.29 %,Vecsés,SEM
206,0.34 %,Vecsés,MUNKÁSPÁRT
3538,5.77 %,Vecsés,LMP
76,0.12 %,Vecsés,A HAZA PÁRTJA
1350,2.2 %,Vecsés,MOMENTUM
361,0.59 %,Vecsés,CSP
8014,12.99 %,Érd,JOBBIK
123,0.2 %,Érd,KÖSSZ
2264,3.67 %,Érd,LMP
70,0.11 %,Érd,TENNI AKARÁS MOZGALOM
29,0.05 %,Érd,AQP
1146,1.86 %,Érd,MKKP
26987,43.74 %,Érd,FIDESZ-KDNP
21888,35.47 %,Érd,MSZP-PÁRBESZÉD
1035,1.68 %,Érd,MOMENTUM
146,0.24 %,Érd,MIÉP
53,0.08 %,Szentendre,IRÁNYTŰ
2044,3.07 %,Szentendre,EGYÜTT
1827,2.74 %,Szentendre,MKKP
30711,46.11 %,Szentendre,FIDESZ-KDNP
11624,17.45 %,Szentendre,JOBBIK
225,0.34 %,Szentendre,MUNKÁSPÁRT
1469,2.21 %,Szentendre,MOMENTUM
4706,7.07 %,Szentendre,LMP
82,0.12 %,Szentendre,ÖSSZEFOGÁS PÁRT
12852,19.3 %,Szentendre,DK
39,0.06 %,Szentendre,MEDETE PÁRT
46,0.07 %,Szentendre,REND PÁRT
133,0.2 %,Szentendre,KÖSSZ
580,0.87 %,Szentendre,Független jelölt
212,0.32 %,Szentendre,MIÉP
30990,44.14 %,Budakeszi,FIDESZ-KDNP
5923,8.44 %,Budakeszi,JOBBIK
121,0.17 %,Budakeszi,MCP
602,0.86 %,Budakeszi,DEMOKRATA PÁRT
0,0.0 %,Budakeszi,MOMENTUM
1544,2.2 %,Budakeszi,MKKP
337,0.48 %,Budakeszi,MUNKÁSPÁRT
30694,43.72 %,Budakeszi,LMP
82,0.15 %,Tatabánya,SZP
15192,26.86 %,Tatabánya,MSZP-PÁRBESZÉD
141,0.25 %,Tatabánya,MIÉP
25128,44.43 %,Tatabánya,FIDESZ-KDNP
449,0.79 %,Tatabánya,Független jelölt
88,0.16 %,Tatabánya,IRÁNYTŰ
985,1.74 %,Tatabánya,MKKP
785,1.39 %,Tatabánya,MOMENTUM
11071,19.58 %,Tatabánya,JOBBIK
159,0.28 %,Tatabánya,MUNKÁSPÁRT
2440,4.31 %,Tatabánya,LMP
31,0.05 %,Tatabánya,NEMZET ÉS BÉKE
6776,12.36 %,Balassagyarmat,MSZP-PÁRBESZÉD
74,0.13 %,Balassagyarmat,KÖSSZ
64,0.12 %,Balassagyarmat,REND PÁRT
27,0.05 %,Balassagyarmat,EU.ROM
94,0.17 %,Balassagyarmat,MCP
122,0.22 %,Balassagyarmat,Független jelölt
55,0.1 %,Balassagyarmat,KÖZÖS NEVEZŐ
114,0.21 %,Balassagyarmat,SEM
2095,3.82 %,Balassagyarmat,LMP
15062,27.47 %,Balassagyarmat,JOBBIK
543,0.99 %,Balassagyarmat,MUNKÁSPÁRT
18,0.03 %,Balassagyarmat,TAMP
36,0.07 %,Balassagyarmat,TENNI AKARÁS MOZGALOM
29754,54.26 %,Balassagyarmat,FIDESZ-KDNP
8,0.02 %,Salgótarján,ÉRTÜNK ÉRTETEK
33,0.06 %,Salgótarján,REND PÁRT
61,0.12 %,Salgótarján,SZP
27,0.05 %,Salgótarján,ÖSSZEFOGÁS PÁRT
42,0.08 %,Salgótarján,Független jelölt
35,0.07 %,Salgótarján,EMMO
445,0.86 %,Salgótarján,MKKP
42,0.08 %,Salgótarján,MIÉP
4636,8.92 %,Salgótarján,DK
77,0.15 %,Salgótarján,TAMP
3,0.01 %,Salgótarján,ERP
41,0.08 %,Salgótarján,OPRE ROMA
20,0.04 %,Salgótarján,MEDETE PÁRT
40,0.08 %,Salgótarján,EU.ROM
320,0.62 %,Salgótarján,MOMENTUM
11553,22.22 %,Salgótarján,JOBBIK
48,0.09 %,Salgótarján,KÖZÖS NEVEZŐ
8478,16.31 %,Salgótarján,LMP
221,0.43 %,Salgótarján,EGYÜTT
383,0.74 %,Salgótarján,Független jelölt
118,0.23 %,Salgótarján,MCP
67,0.13 %,Salgótarján,CSP
35,0.07 %,Salgótarján,CIVIL MOZGALOM
421,0.81 %,Salgótarján,MUNKÁSPÁRT
74,0.14 %,Salgótarján,MAGYAR DEMOKRATIKUS UNIÓ
40,0.08 %,Salgótarján,Független jelölt
53,0.1 %,Salgótarján,NEMZETI ZÖLDEK
14,0.03 %,Salgótarján,TENNI AKARÁS MOZGALOM
10,0.02 %,Salgótarján,HAZA MINDENKIÉ
24611,47.34 %,Salgótarján,FIDESZ-KDNP
19,0.04 %,Salgótarján,EP
16,0.03 %,Salgótarján,HHP
82,0.14 %,Esztergom,ÖSSZEFOGÁS PÁRT
134,0.23 %,Esztergom,MIÉP
26137,45.21 %,Esztergom,FIDESZ-KDNP
958,1.66 %,Esztergom,MKKP
270,0.47 %,Esztergom,MUNKÁSPÁRT
861,1.49 %,Esztergom,Független jelölt
2657,4.6 %,Esztergom,LMP
54,0.09 %,Esztergom,LENDÜLETTEL
240,0.42 %,Esztergom,CSP
24,0.04 %,Esztergom,IRÁNYTŰ
88,0.15 %,Esztergom,SEM
19834,34.31 %,Esztergom,JOBBIK
6474,11.2 %,Esztergom,DK
2827,4.93 %,Komárom,LMP
7127,12.43 %,Komárom,MSZP-PÁRBESZÉD
149,0.26 %,Komárom,SZEM PÁRT
62,0.11 %,Komárom,IRÁNYTŰ
15258,26.61 %,Komárom,JOBBIK
130,0.23 %,Komárom,NEEM
217,0.38 %,Komárom,LENDÜLETTEL
1363,2.38 %,Komárom,MOMENTUM
29241,50.99 %,Komárom,FIDESZ-KDNP
974,1.7 %,Komárom,MKKP
24,0.05 %,Törökszentmiklós,NP
42,0.09 %,Törökszentmiklós,MCP
81,0.17 %,Törökszentmiklós,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
350,0.72 %,Törökszentmiklós,MOMENTUM
55,0.11 %,Törökszentmiklós,A HAZA PÁRTJA
21668,44.71 %,Törökszentmiklós,FIDESZ-KDNP
34,0.07 %,Törökszentmiklós,MEDETE PÁRT
0,0.0 %,Törökszentmiklós,HAM
270,0.56 %,Törökszentmiklós,MUNKÁSPÁRT
21,0.04 %,Törökszentmiklós,IRÁNYTŰ
58,0.12 %,Törökszentmiklós,KÖZÖS NEVEZŐ
4668,9.63 %,Törökszentmiklós,MSZP-PÁRBESZÉD
1119,2.31 %,Törökszentmiklós,LMP
84,0.17 %,Törökszentmiklós,MIÉP
19760,40.78 %,Törökszentmiklós,JOBBIK
207,0.43 %,Törökszentmiklós,CSP
18,0.04 %,Törökszentmiklós,ÖSSZEFOGÁS PÁRT
87,0.18 %,Karcag,MIÉP
442,0.9 %,Karcag,MOMENTUM
2663,5.44 %,Karcag,DK
26,0.05 %,Karcag,TENNI AKARÁS MOZGALOM
0,0.0 %,Karcag,IMA
45,0.09 %,Karcag,ÖSSZEFOGÁS PÁRT
16128,32.92 %,Karcag,JOBBIK
1685,3.44 %,Karcag,LMP
27086,55.29 %,Karcag,FIDESZ-KDNP
112,0.23 %,Karcag,ÉRTÜNK ÉRTETEK
46,0.09 %,Karcag,DEMOKRATA PÁRT
30,0.06 %,Karcag,EU.ROM
72,0.15 %,Karcag,A HAZA PÁRTJA
80,0.16 %,Karcag,HAJRÁ MAGYARORSZÁG!
341,0.7 %,Karcag,MUNKÁSPÁRT
32,0.07 %,Karcag,IRÁNYTŰ
116,0.24 %,Karcag,FKGP
21,0.04 %,Jászberény,EU.ROM
19,0.04 %,Jászberény,KÖSSZ
21,0.04 %,Jászberény,TENNI AKARÁS MOZGALOM
7,0.01 %,Jászberény,IRÁNYTŰ
37,0.08 %,Jászberény,A HAZA PÁRTJA
62,0.13 %,Jászberény,NEEM
18,0.04 %,Jászberény,MEDETE PÁRT
0,0.0 %,Jászberény,JÓ ÚT MPP
0,0.0 %,Jászberény,IMA
15,0.03 %,Jászberény,ÖSSZEFOGÁS PÁRT
161,0.34 %,Jászberény,MUNKÁSPÁRT
52,0.11 %,Jászberény,MIÉP
30,0.06 %,Jászberény,MCP
3893,8.12 %,Jászberény,DK
5,0.01 %,Jászberény,NP
2035,4.25 %,Jászberény,LMP
19,0.04 %,Jászberény,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
16057,33.5 %,Jászberény,JOBBIK
45,0.09 %,Jászberény,ÉRTÜNK ÉRTETEK
27,0.06 %,Jászberény,KÖZÖS NEVEZŐ
24549,51.21 %,Jászberény,FIDESZ-KDNP
298,0.62 %,Jászberény,MOMENTUM
372,0.78 %,Jászberény,MKKP
105,0.22 %,Jászberény,EGYÜTT
87,0.18 %,Jászberény,CSP
148,0.33 %,Hajdúböszörmény,CSP
7914,17.72 %,Hajdúböszörmény,MSZP-PÁRBESZÉD
483,1.08 %,Hajdúböszörmény,MOMENTUM
77,0.17 %,Hajdúböszörmény,EU.ROM
12,0.03 %,Hajdúböszörmény,ÖSSZEFOGÁS PÁRT
62,0.14 %,Hajdúböszörmény,SZEM PÁRT
158,0.35 %,Hajdúböszörmény,MUNKÁSPÁRT
1333,2.99 %,Hajdúböszörmény,LMP
21843,48.91 %,Hajdúböszörmény,FIDESZ-KDNP
22,0.05 %,Hajdúböszörmény,KÖSSZ
100,0.22 %,Hajdúböszörmény,MCP
48,0.11 %,Hajdúböszörmény,TENNI AKARÁS MOZGALOM
25,0.06 %,Hajdúböszörmény,IRÁNYTŰ
0,0.0 %,Hajdúböszörmény,EMMO
12227,27.38 %,Hajdúböszörmény,JOBBIK
23,0.05 %,Hajdúböszörmény,MISZEP
55,0.12 %,Hajdúböszörmény,MIÉP
21,0.05 %,Hajdúböszörmény,OP
105,0.24 %,Hajdúböszörmény,A HAZA PÁRTJA
223,0.4 %,Szolnok,CSP
23665,42.09 %,Szolnok,FIDESZ-KDNP
133,0.24 %,Szolnok,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
47,0.08 %,Szolnok,NP
41,0.07 %,Szolnok,MCP
8520,15.15 %,Szolnok,MSZP-PÁRBESZÉD
39,0.07 %,Szolnok,MEDETE PÁRT
2028,3.61 %,Szolnok,LMP
164,0.29 %,Szolnok,MIÉP
427,0.76 %,Szolnok,MUNKÁSPÁRT
63,0.11 %,Szolnok,ÉRTÜNK ÉRTETEK
18,0.03 %,Szolnok,AQP
12,0.02 %,Szolnok,JÓ ÚT MPP
863,1.53 %,Szolnok,MOMENTUM
154,0.27 %,Szolnok,SEM
19746,35.12 %,Szolnok,JOBBIK
26,0.05 %,Szolnok,IRÁNYTŰ
40,0.07 %,Szolnok,KÖSSZ
18,0.03 %,Szolnok,ÖSSZEFOGÁS PÁRT
1703,3.12 %,Hatvan,LMP
4755,8.7 %,Hatvan,MSZP-PÁRBESZÉD
90,0.16 %,Hatvan,MEDETE PÁRT
77,0.14 %,Hatvan,REND PÁRT
19219,35.18 %,Hatvan,JOBBIK
39,0.07 %,Hatvan,LENDÜLETTEL
45,0.08 %,Hatvan,KÖSSZ
27,0.05 %,Hatvan,EU.ROM
0,0.0 %,Hatvan,KÖZÖS NEVEZŐ
27,0.05 %,Hatvan,IRÁNYTŰ
252,0.46 %,Hatvan,CSP
27726,50.75 %,Hatvan,FIDESZ-KDNP
46,0.08 %,Hatvan,ÖSSZEFOGÁS PÁRT
547,1.0 %,Hatvan,MOMENTUM
79,0.14 %,Hatvan,A HAZA PÁRTJA
44,0.08 %,Gyöngyös,ÖSSZEFOGÁS PÁRT
4632,8.31 %,Gyöngyös,MSZP-PÁRBESZÉD
191,0.34 %,Gyöngyös,EGYÜTT
27,0.05 %,Gyöngyös,IRÁNYTŰ
38,0.07 %,Gyöngyös,MEDETE PÁRT
43,0.08 %,Gyöngyös,REND PÁRT
1260,2.26 %,Gyöngyös,LMP
65,0.12 %,Gyöngyös,EU.ROM
57,0.1 %,Gyöngyös,LENDÜLETTEL
25729,46.15 %,Gyöngyös,FIDESZ-KDNP
122,0.22 %,Gyöngyös,CSP
0,0.0 %,Gyöngyös,KÖZÖS NEVEZŐ
23379,41.94 %,Gyöngyös,JOBBIK
106,0.19 %,Gyöngyös,SEM
35,0.06 %,Gyöngyös,A HAZA PÁRTJA
19,0.03 %,Gyöngyös,EMMO
3987,6.76 %,Eger,DK
192,0.33 %,Eger,CSP
36,0.06 %,Eger,IRÁNYTŰ
1914,3.25 %,Eger,LMP
0,0.0 %,Eger,LENDÜLETTEL
37,0.06 %,Eger,EU.ROM
23115,39.22 %,Eger,JOBBIK
39,0.07 %,Eger,HAJRÁ MAGYARORSZÁG!
0,0.0 %,Eger,MCP
27374,46.44 %,Eger,FIDESZ-KDNP
86,0.15 %,Eger,SEM
664,1.13 %,Eger,MKKP
0,0.0 %,Eger,ÉRTÜNK ÉRTETEK
19,0.03 %,Eger,REND PÁRT
12,0.02 %,Eger,HAZA MINDENKIÉ
676,1.15 %,Eger,Független jelölt
35,0.06 %,Eger,DEMOKRATA PÁRT
48,0.08 %,Eger,KÖZÖS NEVEZŐ
14,0.02 %,Eger,ÖSSZEFOGÁS PÁRT
0,0.0 %,Eger,MOMENTUM
609,1.03 %,Eger,Független jelölt
87,0.15 %,Eger,MIÉP
219,0.46 %,Debrecen,CSP
3654,7.6 %,Debrecen,DK
27979,58.16 %,Debrecen,FIDESZ-KDNP
48,0.1 %,Debrecen,ÖSSZEFOGÁS PÁRT
28,0.06 %,Debrecen,NP
70,0.15 %,Debrecen,IMA
33,0.07 %,Debrecen,IRÁNYTŰ
83,0.17 %,Debrecen,MISZEP
67,0.14 %,Debrecen,TENNI AKARÁS MOZGALOM
639,1.33 %,Debrecen,MOMENTUM
117,0.24 %,Debrecen,MCP
34,0.07 %,Debrecen,REND PÁRT
73,0.15 %,Debrecen,KÖZÖS NEVEZŐ
1942,4.04 %,Debrecen,LMP
12249,25.46 %,Debrecen,JOBBIK
47,0.1 %,Debrecen,EU.ROM
52,0.11 %,Debrecen,MEDETE PÁRT
85,0.18 %,Debrecen,MIÉP
690,1.43 %,Debrecen,EGYÜTT
0,0.0 %,Debrecen,EGYÜTT
65,0.13 %,Debrecen,ÖSSZEFOGÁS PÁRT
139,0.28 %,Debrecen,MEDETE PÁRT
1459,2.95 %,Debrecen,MOMENTUM
2597,5.25 %,Debrecen,LMP
179,0.36 %,Debrecen,MIÉP
20,0.04 %,Debrecen,IMA
278,0.56 %,Debrecen,MUNKÁSPÁRT
23441,47.36 %,Debrecen,FIDESZ-KDNP
0,0.0 %,Debrecen,EMMO
7531,15.21 %,Debrecen,JOBBIK
13648,27.57 %,Debrecen,MSZP-PÁRBESZÉD
52,0.11 %,Debrecen,NEMZET ÉS BÉKE
89,0.18 %,Debrecen,IRÁNYTŰ
2992,5.98 %,Debrecen,LMP
6002,11.99 %,Debrecen,DK
24731,49.4 %,Debrecen,FIDESZ-KDNP
26,0.05 %,Debrecen,NEMZET ÉS BÉKE
342,0.68 %,Debrecen,MUNKÁSPÁRT
72,0.14 %,Debrecen,ÖSSZEFOGÁS PÁRT
533,1.06 %,Debrecen,EGYÜTT
69,0.14 %,Debrecen,FKGP
1031,2.06 %,Debrecen,MKKP
1347,2.69 %,Debrecen,MOMENTUM
47,0.09 %,Debrecen,IRÁNYTŰ
12723,25.41 %,Debrecen,JOBBIK
152,0.3 %,Debrecen,MIÉP
2545,4.48 %,Sopron,LMP
45,0.08 %,Sopron,KÖSSZ
147,0.26 %,Sopron,MEDETE PÁRT
59,0.1 %,Sopron,SZEM PÁRT
30936,54.44 %,Sopron,FIDESZ-KDNP
44,0.08 %,Sopron,ÖSSZEFOGÁS PÁRT
10301,18.13 %,Sopron,JOBBIK
1824,3.21 %,Sopron,MOMENTUM
9558,16.82 %,Sopron,MSZP-PÁRBESZÉD
199,0.35 %,Sopron,SEM
1167,2.05 %,Sopron,MKKP
52,0.12 %,Berettyóújfalu,IRÁNYTŰ
95,0.22 %,Berettyóújfalu,MIÉP
50,0.12 %,Berettyóújfalu,SZP
29,0.07 %,Berettyóújfalu,NP
129,0.3 %,Berettyóújfalu,MUNKÁSPÁRT
1125,2.62 %,Berettyóújfalu,LMP
96,0.22 %,Berettyóújfalu,KÖZÖS NEVEZŐ
46,0.11 %,Berettyóújfalu,KÖSSZ
41,0.1 %,Berettyóújfalu,NEMZET ÉS BÉKE
12938,30.16 %,Berettyóújfalu,JOBBIK
23630,55.09 %,Berettyóújfalu,FIDESZ-KDNP
61,0.14 %,Berettyóújfalu,SZEM PÁRT
343,0.8 %,Berettyóújfalu,MOMENTUM
4210,9.82 %,Berettyóújfalu,MSZP-PÁRBESZÉD
46,0.11 %,Berettyóújfalu,EU.ROM
120,0.26 %,Hajdúszoboszló,Független jelölt
37,0.08 %,Hajdúszoboszló,SZP
36,0.08 %,Hajdúszoboszló,SZEM PÁRT
0,0.0 %,Hajdúszoboszló,Független jelölt
0,0.0 %,Hajdúszoboszló,Független jelölt
162,0.36 %,Hajdúszoboszló,SEM
130,0.29 %,Hajdúszoboszló,ÚMF
0,0.0 %,Hajdúszoboszló,Független jelölt
39,0.09 %,Hajdúszoboszló,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
39,0.09 %,Hajdúszoboszló,KÖSSZ
40,0.09 %,Hajdúszoboszló,Független jelölt
91,0.2 %,Hajdúszoboszló,EGYÜTT
0,0.0 %,Hajdúszoboszló,Független jelölt
94,0.21 %,Hajdúszoboszló,FKGP
13542,29.8 %,Hajdúszoboszló,JOBBIK
5111,11.25 %,Hajdúszoboszló,MSZP-PÁRBESZÉD
76,0.17 %,Hajdúszoboszló,MCP
1571,3.46 %,Hajdúszoboszló,LMP
0,0.0 %,Hajdúszoboszló,Független jelölt
23444,51.58 %,Hajdúszoboszló,FIDESZ-KDNP
122,0.27 %,Hajdúszoboszló,MIÉP
50,0.11 %,Hajdúszoboszló,NP
574,1.26 %,Hajdúszoboszló,MOMENTUM
47,0.1 %,Hajdúszoboszló,HAJRÁ MAGYARORSZÁG!
125,0.28 %,Hajdúszoboszló,MUNKÁSPÁRT
5246,9.91 %,Mosonmagyaróvár,MSZP-PÁRBESZÉD
55,0.1 %,Mosonmagyaróvár,ÉRTÜNK ÉRTETEK
72,0.14 %,Mosonmagyaróvár,KÖSSZ
46,0.09 %,Mosonmagyaróvár,ÖSSZEFOGÁS PÁRT
215,0.41 %,Mosonmagyaróvár,EGYÜTT
28,0.05 %,Mosonmagyaróvár,HAJRÁ MAGYARORSZÁG!
215,0.41 %,Mosonmagyaróvár,MUNKÁSPÁRT
56,0.11 %,Mosonmagyaróvár,SZEM PÁRT
29033,54.85 %,Mosonmagyaróvár,FIDESZ-KDNP
145,0.27 %,Mosonmagyaróvár,FKGP
13823,26.12 %,Mosonmagyaróvár,JOBBIK
2771,5.24 %,Mosonmagyaróvár,LMP
46,0.09 %,Mosonmagyaróvár,MEDETE PÁRT
75,0.14 %,Mosonmagyaróvár,MAGYAR DEMOKRATIKUS UNIÓ
174,0.33 %,Mosonmagyaróvár,CSP
18,0.03 %,Mosonmagyaróvár,IMA
912,1.72 %,Mosonmagyaróvár,MKKP
2998,6.15 %,Csorna,DK
31148,63.9 %,Csorna,FIDESZ-KDNP
2100,4.31 %,Csorna,LMP
539,1.11 %,Csorna,MOMENTUM
11575,23.75 %,Csorna,JOBBIK
71,0.15 %,Csorna,ÖSSZEFOGÁS PÁRT
132,0.27 %,Csorna,SEM
99,0.2 %,Csorna,SZEM PÁRT
82,0.17 %,Csorna,MEDETE PÁRT
41,0.08 %,Győr,NP
1110,2.12 %,Győr,MOMENTUM
225,0.43 %,Győr,CSP
44,0.08 %,Győr,ÚMF
28,0.05 %,Győr,IRÁNYTŰ
34,0.07 %,Győr,MEDETE PÁRT
30138,57.64 %,Győr,FIDESZ-KDNP
0,0.0 %,Győr,OP
83,0.16 %,Győr,SZEM PÁRT
6891,13.18 %,Győr,MSZP-PÁRBESZÉD
11046,21.12 %,Győr,JOBBIK
82,0.16 %,Győr,KÖZÖS NEVEZŐ
2480,4.74 %,Győr,LMP
44,0.08 %,Győr,REND PÁRT
0,0.0 %,Győr,KÖSSZ
13,0.02 %,Győr,IMA
32,0.06 %,Győr,ÖSSZEFOGÁS PÁRT
126,0.26 %,Győr,OP
1402,2.87 %,Győr,MOMENTUM
78,0.16 %,Győr,IMA
38,0.08 %,Győr,ÖSSZEFOGÁS PÁRT
0,0.0 %,Győr,EGYÜTT
49,0.1 %,Győr,SZEM PÁRT
3118,6.39 %,Győr,LMP
37,0.08 %,Győr,KÖSSZ
218,0.45 %,Győr,CSP
45,0.09 %,Győr,MEDETE PÁRT
24193,49.55 %,Győr,FIDESZ-KDNP
52,0.11 %,Győr,TENNI AKARÁS MOZGALOM
167,0.34 %,Győr,MUNKÁSPÁRT
72,0.15 %,Győr,MIÉP
195,0.4 %,Győr,MINŐKP
28,0.06 %,Győr,A HAZA PÁRTJA
8448,17.3 %,Győr,JOBBIK
10561,21.63 %,Győr,DK
86,0.18 %,Dunaújváros,KÖSSZ
245,0.52 %,Dunaújváros,MUNKÁSPÁRT
129,0.28 %,Dunaújváros,MISZEP
675,1.44 %,Dunaújváros,MOMENTUM
67,0.14 %,Dunaújváros,ÖSSZEFOGÁS PÁRT
0,0.0 %,Dunaújváros,NEMZET ÉS BÉKE
241,0.51 %,Dunaújváros,SEM
39,0.08 %,Dunaújváros,EMMO
1638,3.49 %,Dunaújváros,LMP
20405,43.53 %,Dunaújváros,JOBBIK
48,0.1 %,Dunaújváros,TENNI AKARÁS MOZGALOM
49,0.1 %,Dunaújváros,MEDETE PÁRT
40,0.09 %,Dunaújváros,EU.ROM
4668,9.96 %,Dunaújváros,DK
18541,39.56 %,Dunaújváros,FIDESZ-KDNP
2732,5.09 %,Bicske,LMP
12559,23.41 %,Bicske,JOBBIK
8041,14.99 %,Bicske,MSZP-PÁRBESZÉD
1381,2.57 %,Bicske,MOMENTUM
104,0.19 %,Bicske,ÖSSZEFOGÁS PÁRT
184,0.34 %,Bicske,MIÉP
28415,52.97 %,Bicske,FIDESZ-KDNP
226,0.42 %,Bicske,SZEM PÁRT
